Collecting CPU usage data for node 'worker' and metrics-server every 1 second(s) for 60 seconds...
[2024-05-10 17:38:11] Node 'worker': 298% CPU, Metrics-server: 11% CPU
[2024-05-10 17:38:12] Node 'worker': 298% CPU, Metrics-server: 3% CPU
[2024-05-10 17:38:13] Node 'worker': 279% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:15] Node 'worker': 245% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:16] Node 'worker': 276% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:17] Node 'worker': 252% CPU, Metrics-server: 9% CPU
[2024-05-10 17:38:18] Node 'worker': 252% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:19] Node 'worker': 198% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:20] Node 'worker': 198% CPU, Metrics-server: 10% CPU
[2024-05-10 17:38:21] Node 'worker': 250% CPU, Metrics-server: 10% CPU
[2024-05-10 17:38:23] Node 'worker': 253% CPU, Metrics-server: 5% CPU
[2024-05-10 17:38:24] Node 'worker': 205% CPU, Metrics-server: 5% CPU
[2024-05-10 17:38:25] Node 'worker': 205% CPU, Metrics-server: 5% CPU
[2024-05-10 17:38:26] Node 'worker': 261% CPU, Metrics-server: 5% CPU
[2024-05-10 17:38:27] Node 'worker': 261% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:28] Node 'worker': 211% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:29] Node 'worker': 271% CPU, Metrics-server: 8% CPU
[2024-05-10 17:38:31] Node 'worker': 238% CPU, Metrics-server: 18% CPU
[2024-05-10 17:38:32] Node 'worker': 238% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:33] Node 'worker': 218% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:34] Node 'worker': 218% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:35] Node 'worker': 340% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:36] Node 'worker': 255% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:37] Node 'worker': 255% CPU, Metrics-server: 7% CPU
[2024-05-10 17:38:39] Node 'worker': 274% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:40] Node 'worker': 274% CPU, Metrics-server: 11% CPU
[2024-05-10 17:38:41] Node 'worker': 321% CPU, Metrics-server: 11% CPU
[2024-05-10 17:38:42] Node 'worker': 241% CPU, Metrics-server: 14% CPU
[2024-05-10 17:38:43] Node 'worker': 245% CPU, Metrics-server: 8% CPU
[2024-05-10 17:38:44] Node 'worker': 246% CPU, Metrics-server: 8% CPU
[2024-05-10 17:38:45] Node 'worker': 246% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:47] Node 'worker': 302% CPU, Metrics-server: 9% CPU
[2024-05-10 17:38:48] Node 'worker': 316% CPU, Metrics-server: 5% CPU
[2024-05-10 17:38:49] Node 'worker': 229% CPU, Metrics-server: 5% CPU
[2024-05-10 17:38:50] Node 'worker': 284% CPU, Metrics-server: 12% CPU
[2024-05-10 17:38:51] Node 'worker': 284% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:52] Node 'worker': 311% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:53] Node 'worker': 242% CPU, Metrics-server: 8% CPU
[2024-05-10 17:38:55] Node 'worker': 291% CPU, Metrics-server: 10% CPU
[2024-05-10 17:38:56] Node 'worker': 259% CPU, Metrics-server: 10% CPU
[2024-05-10 17:38:57] Node 'worker': 259% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:58] Node 'worker': 277% CPU, Metrics-server: 6% CPU
[2024-05-10 17:38:59] Node 'worker': 250% CPU, Metrics-server: 6% CPU
[2024-05-10 17:39:00] Node 'worker': 250% CPU, Metrics-server: 10% CPU
[2024-05-10 17:39:01] Node 'worker': 254% CPU, Metrics-server: 5% CPU
[2024-05-10 17:39:03] Node 'worker': 254% CPU, Metrics-server: 8% CPU
[2024-05-10 17:39:04] Node 'worker': 247% CPU, Metrics-server: 4% CPU
[2024-05-10 17:39:05] Node 'worker': 247% CPU, Metrics-server: 5% CPU
[2024-05-10 17:39:06] Node 'worker': 320% CPU, Metrics-server: 5% CPU
[2024-05-10 17:39:07] Node 'worker': 320% CPU, Metrics-server: 11% CPU
[2024-05-10 17:39:08] Node 'worker': 237% CPU, Metrics-server: 15% CPU
[2024-05-10 17:39:09] Node 'worker': 314% CPU, Metrics-server: 6% CPU
[2024-05-10 17:39:11] Node 'worker': 291% CPU, Metrics-server: 12% CPU
[2024-05-10 17:39:12] Node 'worker': 235% CPU, Metrics-server: 5% CPU
[2024-05-10 17:39:13] Node 'worker': 201% CPU, Metrics-server: 5% CPU
[2024-05-10 17:39:14] Node 'worker': 201% CPU, Metrics-server: 8% CPU
[2024-05-10 17:39:15] Node 'worker': 252% CPU, Metrics-server: 7% CPU
[2024-05-10 17:39:16] Node 'worker': 252% CPU, Metrics-server: 7% CPU
[2024-05-10 17:39:17] Node 'worker': 369% CPU, Metrics-server: 6% CPU
[2024-05-10 17:39:18] Node 'worker': 236% CPU, Metrics-server: 6% CPU

Final Averages:
Node 'worker' Average CPU Usage: 260.10
Metrics-server Average CPU Usage: 7.58
