Collecting CPU usage data for node 'worker' and metrics-server every 1 second(s) for 60 seconds...
[2024-05-10 17:07:20] Node 'worker': 102% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:21] Node 'worker': 90% CPU, Metrics-server: 13% CPU
[2024-05-10 17:07:22] Node 'worker': 90% CPU, Metrics-server: 13% CPU
[2024-05-10 17:07:23] Node 'worker': 70% CPU, Metrics-server: 8% CPU
[2024-05-10 17:07:24] Node 'worker': 70% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:26] Node 'worker': 85% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:27] Node 'worker': 90% CPU, Metrics-server: 10% CPU
[2024-05-10 17:07:28] Node 'worker': 101% CPU, Metrics-server: 8% CPU
[2024-05-10 17:07:29] Node 'worker': 56% CPU, Metrics-server: 8% CPU
[2024-05-10 17:07:30] Node 'worker': 56% CPU, Metrics-server: 22% CPU
[2024-05-10 17:07:31] Node 'worker': 77% CPU, Metrics-server: 22% CPU
[2024-05-10 17:07:33] Node 'worker': 82% CPU, Metrics-server: 4% CPU
[2024-05-10 17:07:34] Node 'worker': 97% CPU, Metrics-server: 4% CPU
[2024-05-10 17:07:35] Node 'worker': 111% CPU, Metrics-server: 8% CPU
[2024-05-10 17:07:36] Node 'worker': 68% CPU, Metrics-server: 14% CPU
[2024-05-10 17:07:37] Node 'worker': 56% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:38] Node 'worker': 56% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:40] Node 'worker': 89% CPU, Metrics-server: 15% CPU
[2024-05-10 17:07:41] Node 'worker': 67% CPU, Metrics-server: 15% CPU
[2024-05-10 17:07:42] Node 'worker': 67% CPU, Metrics-server: 15% CPU
[2024-05-10 17:07:43] Node 'worker': 62% CPU, Metrics-server: 13% CPU
[2024-05-10 17:07:44] Node 'worker': 62% CPU, Metrics-server: 13% CPU
[2024-05-10 17:07:45] Node 'worker': 123% CPU, Metrics-server: 14% CPU
[2024-05-10 17:07:47] Node 'worker': 56% CPU, Metrics-server: 5% CPU
[2024-05-10 17:07:48] Node 'worker': 56% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:49] Node 'worker': 86% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:50] Node 'worker': 106% CPU, Metrics-server: 12% CPU
[2024-05-10 17:07:51] Node 'worker': 106% CPU, Metrics-server: 16% CPU
[2024-05-10 17:07:53] Node 'worker': 70% CPU, Metrics-server: 10% CPU
[2024-05-10 17:07:54] Node 'worker': 70% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:55] Node 'worker': 116% CPU, Metrics-server: 6% CPU
[2024-05-10 17:07:56] Node 'worker': 99% CPU, Metrics-server: 16% CPU
[2024-05-10 17:07:57] Node 'worker': 99% CPU, Metrics-server: 16% CPU
[2024-05-10 17:07:59] Node 'worker': 86% CPU, Metrics-server: 24% CPU
[2024-05-10 17:08:00] Node 'worker': 81% CPU, Metrics-server: 8% CPU
[2024-05-10 17:08:01] Node 'worker': 64% CPU, Metrics-server: 13% CPU
[2024-05-10 17:08:02] Node 'worker': 64% CPU, Metrics-server: 13% CPU
[2024-05-10 17:08:03] Node 'worker': 123% CPU, Metrics-server: 9% CPU
[2024-05-10 17:08:04] Node 'worker': 123% CPU, Metrics-server: 9% CPU
[2024-05-10 17:08:06] Node 'worker': 88% CPU, Metrics-server: 7% CPU
[2024-05-10 17:08:07] Node 'worker': 133% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:08] Node 'worker': 89% CPU, Metrics-server: 8% CPU
[2024-05-10 17:08:09] Node 'worker': 89% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:10] Node 'worker': 73% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:11] Node 'worker': 73% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:13] Node 'worker': 91% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:14] Node 'worker': 95% CPU, Metrics-server: 7% CPU
[2024-05-10 17:08:15] Node 'worker': 46% CPU, Metrics-server: 5% CPU
[2024-05-10 17:08:16] Node 'worker': 78% CPU, Metrics-server: 5% CPU
[2024-05-10 17:08:17] Node 'worker': 78% CPU, Metrics-server: 10% CPU
[2024-05-10 17:08:18] Node 'worker': 118% CPU, Metrics-server: 10% CPU
[2024-05-10 17:08:20] Node 'worker': 71% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:21] Node 'worker': 99% CPU, Metrics-server: 24% CPU
[2024-05-10 17:08:22] Node 'worker': 99% CPU, Metrics-server: 7% CPU
[2024-05-10 17:08:23] Node 'worker': 81% CPU, Metrics-server: 7% CPU
[2024-05-10 17:08:24] Node 'worker': 116% CPU, Metrics-server: 8% CPU
[2024-05-10 17:08:25] Node 'worker': 65% CPU, Metrics-server: 6% CPU
[2024-05-10 17:08:26] Node 'worker': 65% CPU, Metrics-server: 10% CPU
[2024-05-10 17:08:28] Node 'worker': 90% CPU, Metrics-server: 5% CPU
[2024-05-10 17:08:29] Node 'worker': 89% CPU, Metrics-server: 5% CPU

Final Averages:
Node 'worker' Average CPU Usage: 84.30
Metrics-server Average CPU Usage: 9.73
