Collecting CPU usage data for node 'worker' and metrics-server every 1 second(s) for 60 seconds...
[2024-05-10 17:33:18] Node 'worker': 120% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:19] Node 'worker': 97% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:20] Node 'worker': 97% CPU, Metrics-server: 12% CPU
[2024-05-10 17:33:21] Node 'worker': 61% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:23] Node 'worker': 61% CPU, Metrics-server: 4% CPU
[2024-05-10 17:33:24] Node 'worker': 80% CPU, Metrics-server: 4% CPU
[2024-05-10 17:33:25] Node 'worker': 99% CPU, Metrics-server: 14% CPU
[2024-05-10 17:33:26] Node 'worker': 80% CPU, Metrics-server: 14% CPU
[2024-05-10 17:33:27] Node 'worker': 80% CPU, Metrics-server: 8% CPU
[2024-05-10 17:33:28] Node 'worker': 88% CPU, Metrics-server: 4% CPU
[2024-05-10 17:33:30] Node 'worker': 94% CPU, Metrics-server: 6% CPU
[2024-05-10 17:33:31] Node 'worker': 61% CPU, Metrics-server: 29% CPU
[2024-05-10 17:33:32] Node 'worker': 104% CPU, Metrics-server: 4% CPU
[2024-05-10 17:33:33] Node 'worker': 104% CPU, Metrics-server: 4% CPU
[2024-05-10 17:33:34] Node 'worker': 98% CPU, Metrics-server: 7% CPU
[2024-05-10 17:33:35] Node 'worker': 98% CPU, Metrics-server: 7% CPU
[2024-05-10 17:33:37] Node 'worker': 65% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:38] Node 'worker': 64% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:39] Node 'worker': 64% CPU, Metrics-server: 7% CPU
[2024-05-10 17:33:40] Node 'worker': 128% CPU, Metrics-server: 15% CPU
[2024-05-10 17:33:41] Node 'worker': 128% CPU, Metrics-server: 15% CPU
[2024-05-10 17:33:42] Node 'worker': 159% CPU, Metrics-server: 15% CPU
[2024-05-10 17:33:44] Node 'worker': 62% CPU, Metrics-server: 11% CPU
[2024-05-10 17:33:45] Node 'worker': 78% CPU, Metrics-server: 11% CPU
[2024-05-10 17:33:46] Node 'worker': 103% CPU, Metrics-server: 6% CPU
[2024-05-10 17:33:47] Node 'worker': 124% CPU, Metrics-server: 9% CPU
[2024-05-10 17:33:48] Node 'worker': 149% CPU, Metrics-server: 9% CPU
[2024-05-10 17:33:49] Node 'worker': 99% CPU, Metrics-server: 7% CPU
[2024-05-10 17:33:51] Node 'worker': 94% CPU, Metrics-server: 15% CPU
[2024-05-10 17:33:52] Node 'worker': 112% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:53] Node 'worker': 85% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:54] Node 'worker': 85% CPU, Metrics-server: 7% CPU
[2024-05-10 17:33:55] Node 'worker': 211% CPU, Metrics-server: 7% CPU
[2024-05-10 17:33:56] Node 'worker': 99% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:58] Node 'worker': 125% CPU, Metrics-server: 5% CPU
[2024-05-10 17:33:59] Node 'worker': 97% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:00] Node 'worker': 97% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:01] Node 'worker': 151% CPU, Metrics-server: 18% CPU
[2024-05-10 17:34:02] Node 'worker': 95% CPU, Metrics-server: 16% CPU
[2024-05-10 17:34:04] Node 'worker': 77% CPU, Metrics-server: 8% CPU
[2024-05-10 17:34:05] Node 'worker': 125% CPU, Metrics-server: 7% CPU
[2024-05-10 17:34:06] Node 'worker': 125% CPU, Metrics-server: 8% CPU
[2024-05-10 17:34:07] Node 'worker': 117% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:08] Node 'worker': 97% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:09] Node 'worker': 97% CPU, Metrics-server: 8% CPU
[2024-05-10 17:34:11] Node 'worker': 97% CPU, Metrics-server: 16% CPU
[2024-05-10 17:34:12] Node 'worker': 104% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:13] Node 'worker': 104% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:14] Node 'worker': 107% CPU, Metrics-server: 14% CPU
[2024-05-10 17:34:15] Node 'worker': 95% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:16] Node 'worker': 95% CPU, Metrics-server: 8% CPU
[2024-05-10 17:34:18] Node 'worker': 85% CPU, Metrics-server: 8% CPU
[2024-05-10 17:34:19] Node 'worker': 76% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:20] Node 'worker': 101% CPU, Metrics-server: 6% CPU
[2024-05-10 17:34:21] Node 'worker': 101% CPU, Metrics-server: 13% CPU
[2024-05-10 17:34:22] Node 'worker': 150% CPU, Metrics-server: 15% CPU
[2024-05-10 17:34:24] Node 'worker': 84% CPU, Metrics-server: 9% CPU
[2024-05-10 17:34:25] Node 'worker': 104% CPU, Metrics-server: 5% CPU
[2024-05-10 17:34:26] Node 'worker': 112% CPU, Metrics-server: 5% CPU
[2024-05-10 17:34:27] Node 'worker': 112% CPU, Metrics-server: 7% CPU

Final Averages:
Node 'worker' Average CPU Usage: 101.01
Metrics-server Average CPU Usage: 8.58
