Collecting CPU usage data for node 'worker' and metrics-server every 1 second(s) for 60 seconds...
[2024-05-10 17:05:16] Node 'worker': 60% CPU, Metrics-server: 4% CPU
[2024-05-10 17:05:17] Node 'worker': 60% CPU, Metrics-server: 4% CPU
[2024-05-10 17:05:18] Node 'worker': 79% CPU, Metrics-server: 8% CPU
[2024-05-10 17:05:20] Node 'worker': 84% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:21] Node 'worker': 84% CPU, Metrics-server: 8% CPU
[2024-05-10 17:05:22] Node 'worker': 53% CPU, Metrics-server: 8% CPU
[2024-05-10 17:05:23] Node 'worker': 61% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:24] Node 'worker': 98% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:25] Node 'worker': 81% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:27] Node 'worker': 47% CPU, Metrics-server: 7% CPU
[2024-05-10 17:05:28] Node 'worker': 47% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:29] Node 'worker': 66% CPU, Metrics-server: 21% CPU
[2024-05-10 17:05:30] Node 'worker': 66% CPU, Metrics-server: 19% CPU
[2024-05-10 17:05:31] Node 'worker': 97% CPU, Metrics-server: 19% CPU
[2024-05-10 17:05:32] Node 'worker': 82% CPU, Metrics-server: 7% CPU
[2024-05-10 17:05:34] Node 'worker': 74% CPU, Metrics-server: 5% CPU
[2024-05-10 17:05:35] Node 'worker': 60% CPU, Metrics-server: 7% CPU
[2024-05-10 17:05:36] Node 'worker': 80% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:37] Node 'worker': 80% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:38] Node 'worker': 170% CPU, Metrics-server: 8% CPU
[2024-05-10 17:05:40] Node 'worker': 60% CPU, Metrics-server: 18% CPU
[2024-05-10 17:05:41] Node 'worker': 60% CPU, Metrics-server: 12% CPU
[2024-05-10 17:05:42] Node 'worker': 70% CPU, Metrics-server: 12% CPU
[2024-05-10 17:05:43] Node 'worker': 76% CPU, Metrics-server: 11% CPU
[2024-05-10 17:05:44] Node 'worker': 124% CPU, Metrics-server: 11% CPU
[2024-05-10 17:05:45] Node 'worker': 89% CPU, Metrics-server: 8% CPU
[2024-05-10 17:05:47] Node 'worker': 61% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:48] Node 'worker': 69% CPU, Metrics-server: 15% CPU
[2024-05-10 17:05:49] Node 'worker': 69% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:50] Node 'worker': 76% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:51] Node 'worker': 76% CPU, Metrics-server: 15% CPU
[2024-05-10 17:05:52] Node 'worker': 62% CPU, Metrics-server: 7% CPU
[2024-05-10 17:05:54] Node 'worker': 81% CPU, Metrics-server: 7% CPU
[2024-05-10 17:05:55] Node 'worker': 99% CPU, Metrics-server: 8% CPU
[2024-05-10 17:05:56] Node 'worker': 104% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:57] Node 'worker': 75% CPU, Metrics-server: 6% CPU
[2024-05-10 17:05:58] Node 'worker': 75% CPU, Metrics-server: 8% CPU
[2024-05-10 17:06:00] Node 'worker': 80% CPU, Metrics-server: 12% CPU
[2024-05-10 17:06:01] Node 'worker': 108% CPU, Metrics-server: 19% CPU
[2024-05-10 17:06:02] Node 'worker': 111% CPU, Metrics-server: 5% CPU
[2024-05-10 17:06:03] Node 'worker': 111% CPU, Metrics-server: 5% CPU
[2024-05-10 17:06:04] Node 'worker': 66% CPU, Metrics-server: 6% CPU
[2024-05-10 17:06:05] Node 'worker': 89% CPU, Metrics-server: 9% CPU
[2024-05-10 17:06:07] Node 'worker': 89% CPU, Metrics-server: 8% CPU
[2024-05-10 17:06:08] Node 'worker': 89% CPU, Metrics-server: 8% CPU
[2024-05-10 17:06:09] Node 'worker': 85% CPU, Metrics-server: 12% CPU
[2024-05-10 17:06:10] Node 'worker': 85% CPU, Metrics-server: 12% CPU
[2024-05-10 17:06:11] Node 'worker': 81% CPU, Metrics-server: 20% CPU
[2024-05-10 17:06:13] Node 'worker': 51% CPU, Metrics-server: 7% CPU
[2024-05-10 17:06:14] Node 'worker': 112% CPU, Metrics-server: 8% CPU
[2024-05-10 17:06:15] Node 'worker': 74% CPU, Metrics-server: 6% CPU
[2024-05-10 17:06:16] Node 'worker': 83% CPU, Metrics-server: 6% CPU
[2024-05-10 17:06:17] Node 'worker': 79% CPU, Metrics-server: 9% CPU
[2024-05-10 17:06:18] Node 'worker': 79% CPU, Metrics-server: 9% CPU
[2024-05-10 17:06:20] Node 'worker': 83% CPU, Metrics-server: 16% CPU
[2024-05-10 17:06:21] Node 'worker': 78% CPU, Metrics-server: 11% CPU
[2024-05-10 17:06:22] Node 'worker': 52% CPU, Metrics-server: 5% CPU
[2024-05-10 17:06:23] Node 'worker': 52% CPU, Metrics-server: 5% CPU
[2024-05-10 17:06:24] Node 'worker': 63% CPU, Metrics-server: 5% CPU
[2024-05-10 17:06:25] Node 'worker': 83% CPU, Metrics-server: 6% CPU

Final Averages:
Node 'worker' Average CPU Usage: 78.96
Metrics-server Average CPU Usage: 8.96
